38971.tsv,8
25432.tsv,8
64783.tsv,8
89031.tsv,8
19120.tsv,8
81697.tsv,8
3313.tsv,8
79069.tsv,8
83238.tsv,8
51140.tsv,8
64801.tsv,8
84044.tsv,8
7924.tsv,8
67573.tsv,8
47233.tsv,8
22798.tsv,8
27130.tsv,8
31732.tsv,8
64022.tsv,8
8652.tsv,8
88922.tsv,8
19817.tsv,8
16329.tsv,8
4289.tsv,8
70399.tsv,8
19930.tsv,8
6541.tsv,8
82836.tsv,8
58683.tsv,8
59977.tsv,8
69930.tsv,8
40579.tsv,8
31724.tsv,8
104181.tsv,8
21303.tsv,8
27752.tsv,8
87345.tsv,8
43573.tsv,8
45615.tsv,8
17005.tsv,8
5727.tsv,8
23141.tsv,8
83108.tsv,8
67763.tsv,8
75322.tsv,8
21235.tsv,8
83950.tsv,8
14708.tsv,8
104310.tsv,8
67913.tsv,8
64363.tsv,8
1571.tsv,8
53057.tsv,8
44199.tsv,8
48816.tsv,8
45353.tsv,8
43913.tsv,8
87237.tsv,8
4525.tsv,8
103875.tsv,8
5510.tsv,8
68976.tsv,8
5272.tsv,8
83031.tsv,8
25297.tsv,8
58452.tsv,8
71890.tsv,8
17393.tsv,8
66157.tsv,8
77461.tsv,8
67310.tsv,8
28724.tsv,8
7031.tsv,8
82683.tsv,8
38296.tsv,8
44229.tsv,8
47857.tsv,8
83077.tsv,8
34404.tsv,8
15104.tsv,8
17359.tsv,8
101928.tsv,8
57094.tsv,8
13347.tsv,8
27329.tsv,8
69362.tsv,8
39192.tsv,8
100993.tsv,8
4320.tsv,8
47407.tsv,8
41054.tsv,8
3905.tsv,8
69903.tsv,8
42849.tsv,8
69417.tsv,8
37610.tsv,8
24461.tsv,8
77531.tsv,8
49354.tsv,8
33808.tsv,8
21448.tsv,8
102301.tsv,8
39792.tsv,8
53480.tsv,8
29616.tsv,8
54430.tsv,8
56127.tsv,8
72266.tsv,8
86131.tsv,8
84588.tsv,8
76520.tsv,8
71144.tsv,8
101685.tsv,8
103595.tsv,8
77264.tsv,8
