69777.tsv,9
79025.tsv,9
79477.tsv,9
30119.tsv,9
85111.tsv,9
57359.tsv,9
9961.tsv,9
71892.tsv,9
62747.tsv,9
75961.tsv,9
57399.tsv,9
32008.tsv,9
24663.tsv,9
11291.tsv,9
8438.tsv,9
16704.tsv,9
41768.tsv,9
74072.tsv,9
22976.tsv,9
61106.tsv,9
69373.tsv,9
49422.tsv,9
27007.tsv,9
46983.tsv,9
12780.tsv,9
30259.tsv,9
26451.tsv,9
45794.tsv,9
33504.tsv,9
76229.tsv,9
38381.tsv,9
14370.tsv,9
72923.tsv,9
70958.tsv,9
56721.tsv,9
65229.tsv,9
7456.tsv,9
78272.tsv,9
1646.tsv,9
9705.tsv,9
49366.tsv,9
84651.tsv,9
79531.tsv,9
7170.tsv,9
51425.tsv,9
23956.tsv,9
65419.tsv,9
49271.tsv,9
81875.tsv,9
68669.tsv,9
74500.tsv,9
56179.tsv,9
18418.tsv,9
20609.tsv,9
21291.tsv,9
14909.tsv,9
4306.tsv,9
44370.tsv,9
22223.tsv,9
80029.tsv,9
7345.tsv,9
42220.tsv,9
68055.tsv,9
34681.tsv,9
10844.tsv,9
37059.tsv,9
82551.tsv,9
320.tsv,9
27133.tsv,9
39885.tsv,9
59783.tsv,9
70801.tsv,9
50910.tsv,9
6119.tsv,9
81550.tsv,9
13365.tsv,9
68106.tsv,9
47670.tsv,9
30441.tsv,9
69427.tsv,9
31471.tsv,9
34209.tsv,9
23810.tsv,9
44996.tsv,9
66538.tsv,9
37091.tsv,9
14206.tsv,9
76617.tsv,9
688.tsv,9
48885.tsv,9
62867.tsv,9
64620.tsv,9
15975.tsv,9
34982.tsv,9
13482.tsv,9
1346.tsv,9
78556.tsv,9
52093.tsv,9
68670.tsv,9
9796.tsv,9
60513.tsv,9
28553.tsv,9
77174.tsv,9
20525.tsv,9
83074.tsv,9
4021.tsv,9
79036.tsv,9
56797.tsv,9
17759.tsv,9
69002.tsv,9
20698.tsv,9
38100.tsv,9
10550.tsv,9
64429.tsv,9
55957.tsv,9
15035.tsv,9
